episode index,list index,imdb id,type,,,
146,105,56172,a,06/06/23,,
147,104,75314,a,13/06/23,,
148,103,45152,a,20/06/23,,
149,102,86250,a,27/06/23,,
150,101,211915,a,04/07/23,,
150.5,B30,,b,11/07/23,,
151,100,40522,a,18/07/23,,
152,99,12349,a,25/07/23,,
153,98,208092,a,01/08/23,,
154,97,66921,a,08/08/23,,
155,96,53125,a,15/08/23,,
155.5,B31,,b,22/08/23,,
156,95,93058,a,29/08/23,,
157,94,2106476,a,05/09/23,,
158,93,33467,a,12/09/23,,
159,92,338013,a,19/09/23,,
160,91,5074352,a,26/09/23,,
160.5,B32,,b,03/10/23,,
161,90,52357,a,10/10/23,,
162,89,180093,a,17/10/23,,
163,88,62622,a,24/10/23,,
164,87,22100,a,31/10/23,,
165,86,119217,a,07/11/23,,
165.5,B33,,b,14/11/23,,
166,85,361748,a,21/11/23,,
167,84,105236,a,28/11/23,,
168,83,86879,a,05/12/23,,
169,82,114709,a,12/12/23,,
170,81,986264,a,19/12/23,,
170.5,B34,,b,26/12/23,,
170.6,C4,,c,02/01/24,,
171,80,86190,a,09/01/24,,
172,79,1187043,a,16/01/24,,
173,78,82096,a,23/01/24,,
174,77,112573,a,30/01/24,,
175,76,2380307,a,06/02/24,,
175.5,B35,,b,13/02/24,,
176,75,169547,a,20/02/24,,
177,74,5311514,a,27/02/24,,
178,73,90605,a,05/03/24,,
179,72,87843,a,12/03/24,,
180,71,1345836,a,19/03/24,,
180.5,B36,,b,26/03/24,,
181,70,51201,a,02/04/24,,
182,69,364569,a,09/04/24,,
183,68,57012,a,16/04/24,,
184,67,119698,a,23/04/24,,
185,66,43014,a,30/04/24,,
185.5,B37,,b,07/05/24,,
186,65,910970,a,14/05/24,,
187,64,4633694,a,21/05/24,,
188,63,50825,a,28/05/24,,
189,62,81505,a,04/06/24,,
190,61,4154756,a,11/06/24,,
190.5,B38,,b,18/06/24,,
191,60,1853728,a,25/06/24,,
192,59,4154796,a,02/07/24,,
193,58,405094,a,09/07/24,,
194,57,32553,a,16/07/24,,
195,56,209144,a,23/07/24,,
195.5,B39,,b,30/07/24,,
196,55,78788,a,06/08/24,,
197,54,82971,a,13/08/24,,
198,53,78748,a,20/08/24,,
199,52,95765,a,27/08/24,,
200,51,47396,a,03/09/24,,
200.5,B40,,b,10/09/24,,
201,50,95327,a,17/09/24,,
202,49,34583,a,24/09/24,,
203,48,482571,a,01/10/24,,
204,47,64116,a,08/10/24,,
205,46,2582802,a,15/10/24,,
205.5,B41,,b,22/10/24,,
206,45,407887,a,29/10/24,,
207,44,21749,a,05/11/24,,
208,43,1675434,a,12/11/24,,
209,42,172495,a,19/11/24,,
210,41,54215,a,26/11/24,,
210.5,B42,,b,03/12/24,,
211,40,27977,a,10/12/24,,
212,39,253474,a,17/12/24,,
213,38,103064,a,24/12/24,,
214,37,88763,a,31/12/24,,
214.1,C5,,c,07/01/25,,
215,36,120586,a,14/01/25,,
215.5,B43,,b,21/01/25,,
216,35,110357,a,28/01/25,,
217,34,114814,a,04/02/25,,
218,33,56058,a,11/02/25,,
219,32,110413,a,18/02/25,,
220,31,816692,a,25/02/25,,
220.5,B44,,b,04/03/25,,
221,30,120689,a,11/03/25,,
222,29,6751668,a,18/03/25,,
223,28,245429,a,25/03/25,,
224,27,120815,a,01/04/25,,
225,26,7286456,a,08/04/25,,
225.5,B45,,b,15/04/25,,
226,25,76759,a,22/04/25,,
227,24,38650,a,29/04/25,,
228,23,102926,a,06/05/25,,
229,22,118799,a,13/05/25,,
230,21,317248,a,20/05/25,,
230.5,B46,,b,27/05/25,,
231,20,114369,a,03/06/25,,
232,19,47478,a,10/06/25,,
233,18,73486,a,17/06/25,,
234,17,99685,a,24/06/25,,
235,16,133093,a,01/07/25,,
235.5,B47,,b,08/07/25,,
236,15,167261,a,15/07/25,,
237,14,80684,a,22/07/25,,
238,13,1375666,a,29/07/25,,
239,12,109830,a,05/08/25,,
240,11,120737,a,12/08/25,,
240.5,B48,,b,19/08/25,,
241,10,137523,a,26/08/25,,
242,9,60196,a,02/09/25,,
243,8,110912,a,09/09/25,,
244,7,167260,a,16/09/25,,
245,6,108052,a,23/09/25,,
245.5,B49,,b,30/09/25,,
246,5,50083,a,07/10/25,,
247,4,468569,a,14/10/25,,
248,3,71562,a,21/10/25,,
249,2,68646,a,28/10/25,,
250,1,111161,a,04/11/25,,
